"campaignid","sample","family","genus","species","length","number","range"
"2020-06_south-west_stereo-BRUVs","08","Sparidae","Chrysophrys","auratus",382.97511,1,2408.25905
"2020-06_south-west_stereo-BRUVs","08","Sparidae","Chrysophrys","auratus",319.95553,1,1591.80881
"2020-06_south-west_stereo-BRUVs","08","Sparidae","Chrysophrys","auratus",460.85994,1,1421.82416
"2020-06_south-west_stereo-BRUVs","08","Sparidae","Chrysophrys","auratus",330.57188,1,1608.45903
"2020-06_south-west_stereo-BRUVs","08","Sparidae","Chrysophrys","auratus",371.9876,1,1477.56482
"2020-06_south-west_stereo-BRUVs","08","Sparidae","Chrysophrys","auratus",341.72599,1,1124.51001
"2020-06_south-west_stereo-BRUVs","08","Labridae","Coris","auricularis",65.17106,1,1970.11585
"2020-06_south-west_stereo-BRUVs","08","Labridae","Coris","auricularis",43.49833,1,2002.49513
"2020-06_south-west_stereo-BRUVs","08","Labridae","Coris","auricularis",52.873,1,1428.45963
"2020-06_south-west_stereo-BRUVs","08","Labridae","Coris","auricularis",61.504,1,1937.37249
"2020-06_south-west_stereo-BRUVs","08","Labridae","Coris","auricularis",66.48009,1,1663.70267
"2020-06_south-west_stereo-BRUVs","08","Labridae","Coris","auricularis",45.221,1,1717.62449
