"sample","latitude","longitude","date","time","site","location","successful.count"
"IO220",-34.05618897,114.8438721,20201015,14:39:00,"C.IO.5","South-west","Yes"
"IO222",-34.06618897,114.8313721,20201015,14:54:00,"C.IO.4","South-west","Yes"
"IO223",-34.07118897,114.8463721,20201015,14:25:00,"C.IO.4","South-west","Yes"
"IO224",-34.06118897,114.8388721,20201015,14:35:00,"C.IO.4","South-west","Yes"
"IO225",-34.07118897,114.8338721,20201015,14:20:00,"C.IO.4","South-west","Yes"
"IO226",-34.06368897,114.8438721,20201015,14:32:00,"C.IO.4","South-west","Yes"
"IO227",-33.99868897,114.7838721,20201019,06:37:00,"C.IO.42","South-west","Yes"
"IO228",-34.00368897,114.7938721,20201019,06:46:00,"C.IO.42","South-west","Yes"
"IO229",-33.99368897,114.7863721,20201019,06:31:00,"C.IO.42","South-west","Yes"
"IO235",-34.06618897,114.9138721,20201016,12:49:00,"C.IO.2","South-west","Yes"
"IO236",-34.08118897,114.9238721,20201016,12:22:00,"C.IO.1","South-west","Yes"
"IO237",-34.08118897,114.9363721,20201016,12:15:00,"C.IO.1","South-west","Yes"
"IO239",-34.09118897,114.9313721,20201016,12:05:00,"C.IO.1","South-west","Yes"
"IO241",-33.99368897,114.7913721,20201019,06:26:00,"C.IO.42","South-west","Yes"
"IO244",-34.00368897,114.9063721,20201019,11:35:00,"C.IO.47","South-west","Yes"
"IO245",-34.00868897,114.9013721,20201019,11:30:00,"C.IO.47","South-west","Yes"
"IO253",-34.01368897,114.7038721,20201123,12:15:00,"C.IO.49","South-west","Yes"
"IO254",-34.01868897,114.6963721,20201123,12:10:00,"C.IO.49","South-west","Yes"
"IO258",-33.96618897,114.9138721,20201019,12:05:00,"C.IO.20","South-west","Yes"
"IO259",-33.96868897,114.9213721,20201019,12:00:00,"C.IO.20","South-west","Yes"
"IO260",-33.97118897,114.9163721,20201019,11:55:00,"C.IO.20","South-west","Yes"
"IO261",-33.97618897,114.9213721,20201019,11:46:00,"C.IO.20","South-west","Yes"
"IO262",-34.01368897,114.8738721,20201019,09:46:00,"C.IO.19","South-west","Yes"
"IO263",-34.00868897,114.8788721,20201019,09:52:00,"C.IO.19","South-west","Yes"
