"","response","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","distance_from_access","unconsolidated","macroalgae","seagrasses","depth_m","mean_relief","sd_relief","cumsum.wi"
"macroalgae+sd_relief+seagrasses...78","Sublegal KGW","s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",90.8079985330589,103.304919264808,0.11052,NA,4.67,0,3.946,6.979,0.048,0.013,0,0,1,1,0,0,1,0.6
"macroalgae...79","Sublegal KGW","s(macroalgae, k = 3, bs = ""cr"")",90.8807644921032,100.277570344571,0.0561,NA,2.8,0,4.018,3.951,0.046,0.058,0,0,1,0,0,0,0,0.646
"sd_relief...80","Sublegal KGW","s(sd_relief, k = 3, bs = ""cr"")",91.1822700926514,98.9115479942818,0.10126,NA,2,0,4.32,2.585,0.04,0.115,0,0,0,0,0,0,1,0.686
"depth_m+macroalgae+sd_relief...81","Sublegal KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",91.3266656044304,103.766845749112,0.10397,NA,4.62,0,4.464,7.441,0.037,0.01,0,0,1,0,1,0,1,0.723
"macroalgae+seagrasses...82","Sublegal KGW","s(macroalgae, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",91.7024577364546,102.748248307752,0.06901,NA,3.8,0,4.84,6.422,0.031,0.017,0,0,1,1,0,0,0,0.754
"macroalgae+mean_relief+sd_relief...83","Sublegal KGW","s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",91.9331350619017,104.743049026353,0.10444,NA,4.8,0,5.071,8.417,0.027,0.006,0,0,1,0,0,1,1,0.781
"mean_relief+sd_relief...84","Sublegal KGW","s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",92.012424562826,102.616505527597,0.08728,NA,3.44,0,5.15,6.29,0.026,0.018,0,0,0,0,0,1,1,0.807
"distance_from_access+macroalgae+sd_relief...85","Sublegal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",92.3309542951438,104.846913988517,0.09276,NA,4.69,0,5.469,8.521,0.022,0.006,1,0,1,0,0,0,1,0.829
"distance_from_access+unconsolidated...86","Sublegal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(unconsolidated, k = 3, bs = ""cr"")",92.772561280833,103.808120763336,0.08621,NA,3.78,0,5.91,7.482,0.018,0.01,1,1,0,0,0,0,0,0.847
"sd_relief+seagrasses...87","Sublegal KGW","s(sd_relief, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",92.8244343659355,102.28814929235,0.09143,NA,3,0,5.962,5.962,0.017,0.021,0,0,0,1,0,0,1,0.864
"depth_m+mean_relief+sd_relief...88","Sublegal KGW","s(depth_m, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",93.3780855119819,106.907265026685,0.13021,NA,5.17,0,6.516,10.581,0.013,0.002,0,0,0,0,1,1,1,0.877
